"objectno","envelope","oldobjectno","objecttype","description","notes","dimensions","imagenotes","imagename","imagecomments","imageexists","imagetype","imagedesc"
"1","90","1.1","Dan head","Dan head. Dan 旦. Demon. Green painted face, crescent cut on cheek; red brows, hair, red chignon, 2 meifa 美髮 sticks, natural white profile flower deco at ear with four multi-color extensions; natural white ear ring, black mesh extension at back. Lacquered.","See 2 and others.","h: 3 ¼ x 2 ¼ ",,"DSCN3615.JPG|DSCN3616.JPG","1, 2, 3, 4|1, 2, 3, 4","YES|YES",,
"2","90","1.2","Dan head","Dan head. Dan. Demon. Red painted face, crescent cut on cheek, black brows, hair, black chignon; 2 meifa 美髮 sticks; red profile flower deco at ear with four natural tip extensions; black ear ring; black mesh extension at back. Lacquered.","Note: exact same silhouette as 1.","h: 3 ¼ x 2 ¼ ",,"DSCN3615.JPG|DSCN3616.JPG","1, 2, 3, 4|1, 2, 3, 4","YES|YES",,
"3","90","1.3","Dan head","Dan head. Dan. Demon. Red painted face, black brows, hair fringe at forehead, black chignon, 2 meifa 美髮 sticks, red to orange profile flower deco at ear; four blue to natural tip extensions; blue ear ring, black mesh extends at back. Lacquered.","Note: silhouette slightly diff from 1 and 2, but same as 4.","h: 3 ¼ x 2 ¼ ",,"DSCN3615.JPG|DSCN3616.JPG","1, 2, 3, 4|1, 2, 3, 4","YES|YES",,
"4","90","1.4","Dan head","Dan head. Dan. Demon. Greenish brown painted face, red brows, hair fringe at forehead, red chignon. Green quatrefoil deco at top of head; blue flower deco at ear, black mesh extends forward and back. Lacquered.","Exact same silhouette as 3.","h: 3 ¼ x 2 ½ ",,"DSCN3615.JPG|DSCN3616.JPG","1, 2, 3, 4|1, 2, 3, 4","YES|YES",,
"5","90","1.5","Sheng head","Sheng head. Lao wu sheng 老武生. Open cut face, long white 3 strand beard, ying luomao 硬羅帽 red hexagonal state minister hat with blue, black deco, large red top knob; large blue ear pompom, rongqiu 絨球, black ciguye 慈菇葉 martial arrow at forehead; short red ribbon at nape. Lacquered.",,"h: 5 x 3 ½",,"DSCN3617.JPG","5, 6","YES",,
"6","90","1.6","Sheng head","Sheng head. Wu sheng 武生. Open cut face, red hexagonal state minister hat with black deco and numerous small blue pompoms, red top knob; large red ear pompom, black ciguye 慈菇葉 martial arrow tips decorated with 3 red and 2 blue small pompoms; short red ribbon at nape. Lacquered.",,,,"DSCN3617.JPG","5, 6","YES",,
"7","90","1.7","Sheng head","Sheng head. Wu sheng male or possibly female. Cut away face, ruan luomao 軟羅帽 soft black cloth hat forms hexa swirl at side of head; large red ear pompom; blue ribbon circlet at forehead; small white ear ring; black 慈菇葉 martial arrow. Lacquered.",,"h: 3 ¼ x 2 ¾ ",,"DSCN3618.JPG","7, 8, 9","YES",,
"8","90","1.8","Chou head","Chou head. Wu chou 武丑. Open cut face, natural white eye patch, Salvador Dali style moustache and soul patch; white teeth; ying luomao 硬羅帽 blue hexagonal minister hat with natural white edge deco, 3 pairs small red pompoms, blue knob at top; black ciguye 慈菇葉 martial arrow with 3 small red and 2 small blue pompom decos; short red ribbon at nape. Lacquered.",,"h: 3 ¼ x 3 ¼ ",,"DSCN3618.JPG","7, 8, 9","YES",,
"9","90","1.9","Jing head","Jing head. Wu jing 武淨. Demon. Painted face; blue, white; black stylized eye; teeth, red stylized brow, long pointed sideburn style beard and moustache attach at ear; blue ying luomao 硬羅帽 hexagonal, minister hat, white, red deco, blue top knob; yellow repeat decos at top edges; red ear pompom; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.",,"h: 5 ¼ x 3 ¾ ",,"DSCN3618.JPG","7, 8, 9","YES",,
"10","90","1.10","Jing head","Jing head. Wu jing. Demon. Painted face; blue, natural white; black stylized eye; teeth, red stylized brow; Red tufted  sideburns into moustache, soul patch; blue ying luomao 硬羅帽 hexagonal minister hat, yellow and peach colored moth decos, many small red pompoms at ends of moth feelers, blue top knob; partial red ear flower; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.",,"H: 3 ½ x 3 ½ ",,"DSCN3619.JPG","10, 11, 12","YES",,
